year,month,code,description,description,price
2020,10,CAD,Dòlar canadenc,1.5756
2020,10,JPY,Ien,123.9573
2020,10,HKD,Dòlar Hong Kong,9.1604
2020,11,GBP,Lliura esterlina,0.9134
2020,11,DKK,Corona danesa,7.5551
2020,11,NOK,Corona noruega,11.09
2020,11,SEK,Corona sueca,10.5207
2020,11,CHF,Franc suís,1.0785
2020,11,USD,Dòlar USA,1.1925
2020,11,CAD,Dòlar canadenc,1.5698
2020,11,JPY,Ien,125.548
2020,11,HKD,Dòlar Hong Kong,9.326
2020,12,GBP,Lliura esterlina,0.8995
2020,12,DKK,Corona danesa,7.5612
2020,12,NOK,Corona noruega,10.8848
2020,12,SEK,Corona sueca,10.3732
2020,12,CHF,Franc suís,1.0889
2020,12,USD,Dòlar USA,1.1949
2020,12,CAD,Dòlar canadenc,1.5688
2020,12,JPY,Ien,124.6915
2020,12,HKD,Dòlar Hong Kong,9.3475
2019,01,GBP,LLIURA ESTERLINA,0.8957
2019,01,DKK,CORONA DANESA,7.3737
2019,01,NOK,CORONA NORUEGA,9.78
2019,01,SEK,CORONA SUECA,10.1728
2019,01,CHF,FRANC SUÍS,1.1246
2019,01,USD,DÒLAR USA,1.1323
2019,01,CAD,DÒLAR CANADENC,1.5176
2019,01,JPY,IEN,126.8748
2019,01,HKD,DÒLAR HONG KONG,8.7751
2019,02,GBP,LLIURA ESTERLINA,0.8734
2019,02,DKK,CORONA DANESA,7.373
2019,02,NOK,CORONA NORUEGA,9.646
2019,02,SEK,CORONA SUECA,10.1229
2019,02,CHF,FRANC SUÍS,1.1289
2019,02,USD,DÒLAR USA,1.132
2019,02,CAD,DÒLAR CANADENC,1.5056
2019,02,JPY,IEN,123.2841
2019,02,HKD,DÒLAR HONG KONG,8.8011
2019,03,GBP,LLIURA ESTERLINA,0.8654
2019,03,DKK,CORONA DANESA,7.3678
2019,03,NOK,CORONA NORUEGA,9.5994
2019,03,SEK,CORONA SUECA,10.4184
2019,03,CHF,FRANC SUÍS,1.1315
